,article_id,article_title,author,board,date
0,M.1127564480.A.D78,[公告] 新看板成立,smarttb1 (唐淌糖),PublicServan,Sat Sep 24 20:21:33 2005
1,M.1127653557.A.EDA,恭喜開板,pinkpink211 (想念我的直排輪),PublicServan,Sun Sep 25 21:09:41 2005
2,M.1127676335.A.586,[情報] 高普考分配結果已經出來了,moxalee (半個月的假期),PublicServan,Mon Sep 26 03:26:34 2005
3,M.1127694159.A.FC1,請問關於報到準備的東西,harpLin (I pray),PublicServan,Mon Sep 26 08:35:05 2005
4,M.1127695327.A.BC3,[問題] 基礎訓練VS實務訓練,oliverlee (港邊男兒),PublicServan,Mon Sep 26 08:46:05 2005
5,M.1127712028.A.355,[問題]請問學校單位會補助交通津貼嗎? ,Chihlee (☆對不起我愛你☆),PublicServan,Mon Sep 26 13:26:12 2005
6,M.1127713115.A.25B,Re: [問題]請問學校單位會補助交通津貼嗎? ,"Innnn (Solong,Etude)",PublicServan,Mon Sep 26 13:41:32 2005
7,M.1127714733.A.44B,Re: [問題] 增額錄取的問題....,MingyiYen (藍色小猴子),PublicServan,Mon Sep 26 14:23:07 2005
8,M.1127715023.A.D0F,[問題] 約聘人員...?,koja (火花快滅了),PublicServan,Mon Sep 26 14:32:40 2005
9,M.1127726591.A.451,Re: [問題] 增額錄取的問題....,harpLin (I pray),PublicServan,Mon Sep 26 17:25:24 2005
10,M.1127728448.A.72E,[問題] 高普考同時錄取，放棄普考報到,Arens (Arens),PublicServan,Mon Sep 26 17:56:55 2005
11,M.1127734312.A.E58,Re: [問題] 高普考同時錄取，放棄普考報到,harpLin (I pray),PublicServan,Mon Sep 26 19:32:59 2005
12,M.1127736245.A.E6F,Re: 同意分發書樣版,tomho (浴缸),PublicServan,Mon Sep 26 20:16:23 2005
13,M.1127739499.A.E71,Re: [問題] 職等,harpLin (I pray),PublicServan,Mon Sep 26 21:08:33 2005
14,M.1127740239.A.450,[問題] 我想請問林務局的工作,MingyiYen (藍色小猴子),PublicServan,Mon Sep 26 21:17:07 2005
15,M.1127741375.A.7CE,【公告】  誠徵板主,BABYFACE (忐忑),PublicServan,Mon Sep 26 21:33:45 2005
16,M.1127741377.A.0F5,Re: [問題] 我想請問林務局的工作,sutzu (殘忍的敗類),PublicServan,Mon Sep 26 21:32:25 2005
17,M.1127741422.A.DCA,Re: [問題] 職等,Tywang (..........),PublicServan,Mon Sep 26 21:38:07 2005
18,M.1127741575.A.B8E,[心得] 公家機關某些無聊的事情,sutzu (殘忍的敗類),PublicServan,Mon Sep 26 21:37:03 2005
19,M.1127742013.A.240,Re: [問題] 職等,harpLin (I pray),PublicServan,Mon Sep 26 21:47:05 2005
20,M.1127808179.A.716,Re: [問題] 消防特考~!?,alpha725 (風生水起),PublicServan,Tue Sep 27 16:07:32 2005
21,M.1127808537.A.3E1,Re: [問題] 請問僑委會跟台北市政府？,alpha725 (風生水起),PublicServan,Tue Sep 27 16:10:09 2005
22,M.1127809248.A.56E,Re: [問題] 請問大學在學生有什麼公務員可以考?,alpha725 (風生水起),PublicServan,Tue Sep 27 16:24:50 2005
23,M.1127825430.A.48C,Re: [心得] 公家機關某些無聊的事情,sutzu (殘忍的敗類),PublicServan,Tue Sep 27 21:06:41 2005
24,M.1127827171.A.B61,Re: 請問關於報到準備的東西,Arens (Arens),PublicServan,Tue Sep 27 21:23:37 2005
25,M.1127827503.A.61A,Re: 請問關於報到準備的東西,harpLin (I pray),PublicServan,Tue Sep 27 21:28:12 2005
26,M.1127831012.A.1FA,Re: [問題] 彰化縣政府 如何?,alpha725 (風生水起),PublicServan,Tue Sep 27 22:27:08 2005
27,M.1127834607.A.CBE,Re: [問題] 我想請問林務局的工作,bakalin (大牛比較懶),PublicServan,Tue Sep 27 23:24:15 2005
28,M.1127836399.A.447,[問題]在鄉公所上班會領不到錢？ ,sandra70 (BSB-Never Gone),PublicServan,Tue Sep 27 23:56:16 2005
29,M.1127878124.A.440,Re: [問題] 我想請問林務局的工作,ccwccw (爆走哈士奇),PublicServan,Wed Sep 28 11:32:55 2005
30,M.1127882772.A.8AC,[問題] 請教高考保留受訓資格的問題,jenmu (              ),PublicServan,Wed Sep 28 12:49:01 2005
31,M.1127890787.A.E61,Re: [問題] 請教高考保留受訓資格的問題,sessptt (壞天氣不要來),PublicServan,Wed Sep 28 15:01:58 2005
32,M.1127891126.A.968,Re: [問題] 有關增額錄取的問題,sessptt (壞天氣不要來),PublicServan,Wed Sep 28 15:09:56 2005
33,M.1127902249.A.595,Re: [問題] 請教高考保留受訓資格的問題,jenmu (              ),PublicServan,Wed Sep 28 18:12:40 2005
34,M.1127930961.A.A15,Re: [問題] 彰化縣政府 如何?,mesun (我會害怕),PublicServan,Thu Sep 29 02:14:15 2005
35,M.1127954255.A.0E6,Re: [問題] 彰化縣政府 如何?,proletariat (Die Ruinen von Athen),PublicServan,Thu Sep 29 09:02:09 2005
36,M.1127957001.A.57A,Re: [問題] 彰化縣政府 如何?,alpha725 (風生水起),PublicServan,Thu Sep 29 09:27:56 2005
37,M.1128137471.A.0BA,Re: [問題] 辭職?,aqugirl (冰開水),PublicServan,Sat Oct  1 11:36:55 2005
38,M.1128137866.A.46B,Re: [問題] 辭職?,aqugirl (冰開水),PublicServan,Sat Oct  1 11:58:14 2005
